Manufacturer Hybrid SuggestedRetailPrice DealerCost EngineSize Cylinders Horsepower CityMPG HighwayMPG Weight WheelBase Length Width
"Saturn" 0 14850 13904 2.2 4 140 26 35 2751 103 185 68
"Saturn" 0 16350 15299 2.2 4 140 26 35 2751 103 185 68
"Scion" 0 12965 12340 1.5 4 108 32 38 2340 93 154 67
"Suzuki" 0 12884 12719 2.3 4 155 25 31 2676 98 171 68
"Suzuki" 0 14500 14317 2.3 4 155 25 31 2676 98 171 68
"Suzuki" 0 12269 12116 2 4 119 24 31 2701 102 177 68
"Suzuki" 0 15568 15378 2 4 119 22 30 2756 102 177 68
"Toyota" 0 14085 13065 1.8 4 130 32 40 2502 102 178 67
"Toyota" 0 15030 13650 1.8 4 130 32 40 2524 102 178 67
"Toyota" 0 15295 13889 1.8 4 130 32 40 2524 102 178 67
"Toyota" 0 10760 10144 1.5 4 108 35 43 2035 93 163 65
"Toyota" 0 11560 10896 1.5 4 108 33 39 2085 93 163 65
"Toyota" 0 11290 10642 1.5 4 108 35 43 2055 93 163 65
"Buick" 0 22180 20351 3.1 6 175 20 30 3353 109 195 73
"Chevrolet" 0 21900 20095 3.4 6 180 21 32 3465 111 200 73
"Chevrolet" 0 18995 17434 2.2 4 145 24 34 3174 106 188 70
"Chevrolet" 0 20370 18639 3.5 6 200 22 30 3297 106 188 70
"Chevrolet" 0 21825 20026 3.4 6 180 21 32 3340 111 198 73
"Chrysler" 0 17985 16919 2.4 4 150 22 29 3101 103 169 67
"Chrysler" 0 22000 20573 2.4 4 150 22 29 3105 103 169 67
"Chrysler" 0 19090 17805 2.4 4 150 22 30 3173 108 191 71
"Chrysler" 0 21840 20284 2.7 6 200 21 28 3222 108 191 71
"Dodge" 0 22035 20502 2.7 6 200 21 29 3469 113 204 75
"Dodge" 0 18820 17512 2.4 4 150 21 28 3182 108 191 71
"Dodge" 0 20220 18821 2.4 4 150 21 28 3175 108 191 71
"Ford" 0 19135 17878 2 4 170 21 28 2750 103 168 67
"Ford" 0 20320 18881 3 6 155 20 27 3306 109 198 73
"Ford" 0 22735 20857 3 6 201 19 26 3313 109 198 73
"Honda" 0 19860 17924 2.4 4 160 26 34 2994 105 188 71
"Honda" 0 22260 20080 2.4 4 160 26 34 3047 105 188 71
"Honda" 0 17750 16265 1.7 4 127 32 37 2601 103 175 68
"Honda" 0 19490 17849 2 4 160 26 30 2782 101 166 67
"Honda" 1 20140 18451 1.4 4 93 46 51 2732 103 175 68
"Honda" 1 19110 17911 2 3 73 60 66 1850 95 155 67
"Hyundai" 0 19339 17574 2.7 6 170 19 27 3217 106 187 72
"Hyundai" 0 20339 18380 2.7 6 170 19 27 3217 106 187 72
"Kia" 0 18435 16850 2.7 6 170 20 27 3279 106 186 72
"Mazda6" 0 19270 17817 2.3 4 160 24 32 3042 105 187 70
"Mercury" 0 21595 19848 3 6 155 20 27 3308 109 200 73
"Mini" 0 19999 18137 1.6 4 163 25 34 2678 97 144 67
"Nissan" 0 19240 18030 2.5 4 175 21 26 3039 110 192 70
"Nissan" 0 17640 16444 2.5 4 165 23 28 2761 100 178 67
"Oldsmobile" 0 18825 17642 2.2 4 140 24 32 2946 107 187 70
"Pontiac" 0 22450 20595 3.4 6 175 20 29 3118 107 186 70
"Pontiac" 0 22395 20545 3.8 6 200 20 30 3477 111 198 74
"Pontiac" 0 17735 16369 2.2 4 140 24 33 2771 104 182 68
"Saturn" 0 21410 19801 3 6 182 20 28 3197 107 190 69
"Subaru" 0 19945 18399 2.5 4 165 22 28 2965 99 174 69
"Subaru" 0 20445 18713 2.5 4 165 21 28 3285 104 184 69
"Suzuki" 0 17262 17053 2.5 6 155 20 27 3380 106 188 72
"Toyota" 0 19560 17558 2.4 4 157 24 33 3086 107 189 71
"Toyota" 0 22775 20325 3 6 210 21 29 3296 107 189 71
"Toyota" 0 19635 17722 2.4 4 157 24 33 3175 107 193 72
"Toyota" 0 21965 19819 3.3 6 225 20 29 3417 107 193 72
"Toyota" 1 20510 18926 1.5 4 110 59 51 2890 106 175 68
"Volkswagen" 0 18715 17478 2 4 115 24 31 2897 99 165 68
"Volkswagen" 0 19825 18109 1.8 4 180 24 31 2934 99 168 68
"Volkswagen" 0 21055 19638 1.9 4 100 38 46 3003 99 172 68
"Volkswagen" 0 21055 19638 1.8 4 150 24 31 2820 99 161 68
"Acura" 0 23820 21761 2 4 200 24 31 2778 101 172 68
"Acura" 0 26990 24647 2.4 4 200 22 29 3230 105 183 69
"Audi" 0 25940 23508 1.8 4 170 22 31 3252 104 179 70
"BMW" 0 28495 26155 2.5 6 184 20 29 3219 107 176 69
"Buick" 0 26470 24282 3.8 6 205 20 29 3567 112 200 74
"Buick" 0 24895 22835 3.8 6 200 20 30 3461 109 196 73
"Buick" 0 28345 26047 3.8 6 240 18 28 3536 109 196 73
"Chevrolet" 0 25000 22931 3.8 6 200 20 30 3476 111 200 73
"Chevrolet" 0 27995 25672 3.8 6 240 18 28 3606 111 200 73
"Chevrolet" 0 23495 21551 3.5 6 200 23 32 3315 106 188 70
"Chevrolet" 0 24225 22222 3.8 6 200 18 28 3434 111 198 73
"Chrysler" 0 29865 27797 3.5 6 250 18 27 3581 113 198 74
"Chrysler" 0 24130 22452 2.7 6 200 21 29 3479 113 208 74
"Chrysler" 0 26860 24909 3.5 6 232 19 27 3548 113 208 74
"Chrysler" 0 25955 24172 2.4 4 220 21 27 3217 103 169 67
"Chrysler" 0 25215 23451 2.4 4 150 22 30 3357 106 194 64
"Dodge" 0 24885 23058 3.5 6 232 18 27 3487 113 204 75
"Ford" 0 24345 22856 4.6 8 224 17 25 4057 115 212 78
"Ford" 0 27370 25105 4.6 8 224 17 25 4057 115 212 78
"Honda" 0 23760 21428 3 6 240 21 30 3349 108 190 72
"Honda" 0 26960 24304 3 6 240 21 30 3294 105 188 71
"Hyundai" 0 24589 22055 3.5 6 194 17 26 3651 108 192 72
"Hyundai" 0 26189 23486 3.5 6 194 17 26 3651 108 192 72
"Infiniti" 0 28495 26157 3.5 6 260 18 26 3336 112 187 69
"Infiniti" 0 29795 27536 3.5 6 280 18 26 3416 112 182 72
"Jaguar" 0 29995 27355 2.5 6 192 18 26 3428 107 184 70
"Mercedes-Benz" 0 26060 24249 1.8 4 189 22 30 3250 107 178 68
"Mercedes-Benz" 0 28370 26435 3.2 6 215 19 26 3430 107 178 68
"Mercury" 0 24695 23217 4.6 8 224 17 25 4052 115 212 78
"Mercury" 0 29595 27148 4.6 8 224 17 25 4052 115 212 78
"Mercury" 0 23895 21918 3 6 201 19 26 3315 109 200 73
"Mitsubishi" 0 29282 27250 3.5 6 205 18 25 3549 107 194 70
"Mitsubishi" 0 25700 23883 3.8 6 230 18 26 3649 108 191 72
"Nissan" 0 23290 21580 3.5 6 245 21 26 3197 110 192 70
"Nissan" 0 27490 25182 3.5 6 265 20 28 3473 111 194 72
"Nissan" 0 29440 26966 3.5 6 265 20 28 3476 111 194 72
"Oldsmobile" 0 23675 21485 3.4 6 170 20 29 3085 107 187 70
"Pontiac" 0 24295 22284 3.8 6 200 20 30 3484 111 198 74
"Subaru" 0 25645 23336 2.5 4 165 21 28 3395 104 184 69
"Subaru" 0 27145 24687 2.5 4 165 20 27 3495 104 184 69
"Subaru" 0 29345 26660 3 6 212 19 26 3610 104 184 69
"Toyota" 0 26560 23693 3 6 210 21 29 3417 107 192 72
"Toyota" 0 25920 23125 3 6 210 21 29 3362 107 189 71
"Toyota" 0 26510 23908 3.3 6 225 20 29 3439 107 193 72
"Volkswagen" 0 23785 21686 2.8 6 200 21 30 3179 99 172 68
"Volkswagen" 0 23215 21689 2 4 115 24 30 3082 99 161 68
"Volkswagen" 0 23955 21898 1.8 4 170 22 31 3241 106 185 69
"Volvo" 0 25135 23701 1.9 4 170 22 29 2767 101 178 68
"Acura" 0 33195 30299 3.2 6 270 20 28 3575 108 186 72
"Audi" 0 35940 32506 1.8 4 170 23 30 3638 105 180 70
"Audi" 0 31840 28846 3 6 220 20 28 3462 104 179 70
"Audi" 0 33430 30366 3 6 220 17 26 3583 104 179 70
"Audi" 0 34480 31388 3 6 220 18 25 3627 104 179 70
"Audi" 0 36640 33129 3 6 220 20 27 3561 109 192 71
"Audi" 0 39640 35992 3 6 220 18 25 3880 109 192 71
"BMW" 0 30795 28245 2.5 6 184 20 29 3197 107 177 69
"BMW" 0 37995 34800 2.5 6 184 19 27 3560 107 177 69
"BMW" 0 30245 27745 2.5 6 184 19 27 3461 107 176 69
"BMW" 0 35495 32525 3 6 225 20 30 3285 107 176 69
"BMW" 0 36995 33890 3 6 225 20 30 3285 107 176 69
"BMW" 0 37245 34115 3 6 225 20 29 3483 107 176 69
"BMW" 0 39995 36620 2.5 6 184 19 28 3428 114 191 73
"Buick" 0 32245 29566 3.8 6 205 20 29 3591 112 200 74
"Buick" 0 35545 32244 3.8 6 205 20 29 3778 114 207 75
"Cadillac" 0 30835 28575 3.6 6 255 18 25 3694 113 190 71
"Chrysler" 0 33295 30884 3.5 6 255 18 27 3650 113 198 74
"Chrysler" 0 30950 28613 2.7 6 200 21 28 3448 106 194 69
"Ford" 0 30315 27756 4.6 8 239 17 25 4057 115 212 78
"Infiniti" 0 32445 29783 3.5 6 260 18 26 3677 112 187 69
"Infiniti" 0 31145 28320 3.5 6 255 19 26 3306 108 194 70
"Jaguar" 0 33995 30995 3 6 227 18 25 3516 107 184 70
"Lexus" 0 32350 28755 3.3 6 225 20 29 3460 107 191 71
"Lexus" 0 31045 27404 3 6 215 18 25 3255 105 177 68
"Lexus" 0 32415 28611 3 6 215 18 24 3285 105 177 68
"Lincoln" 0 32495 29969 3 6 232 20 26 3681 115 194 73
"Lincoln" 0 36895 33929 3 6 232 20 26 3681 115 194 73
"Mercedes-Benz" 0 32280 30071 2.6 6 168 20 25 3360 107 178 68
"Mercedes-Benz" 0 33480 31187 2.6 6 168 19 25 3360 107 178 68
"Mercedes-Benz" 0 35920 33456 3.2 6 215 19 26 3430 107 178 68
"Mercedes-Benz" 0 37630 35046 3.2 6 215 20 26 3450 107 178 68
"Mercury" 0 30895 28318 4.6 8 224 17 25 4052 115 212 78
"Mercury" 0 34495 31558 4.6 8 302 17 23 4195 115 212 78
"Saab" 0 30860 29269 2 4 210 20 28 3175 105 183 69
"Saab" 0 33360 31562 2 4 210 20 28 3175 105 183 69
"Saab" 0 35105 33011 2.3 4 220 21 29 3470 106 190 71
"Saab" 0 39465 37721 2.3 4 250 21 29 3470 106 190 71
"Subaru" 0 31545 28603 3 6 212 19 26 3630 104 184 69
"Toyota" 0 30920 27271 3 6 210 21 29 3439 107 192 72
"Volkswagen" 0 33180 30583 2.8 6 190 19 26 3721 106 185 69
"Volkswagen" 0 39235 36052 4 8 270 18 25 3953 106 185 69
"Volvo" 0 31745 29916 2.5 5 208 20 27 3903 107 180 71
"Volvo" 0 34845 32902 2.3 5 247 20 28 3766 107 180 71
"Volvo" 0 37560 35382 2.5 5 300 18 25 3571 107 181 71
"Volvo" 0 37730 35542 2.9 6 208 20 28 3576 110 190 72
"Volvo" 0 37885 35688 2.5 5 194 20 27 3691 110 190 72
"Acura" 0 43755 39014 3.5 6 225 18 24 3880 115 197 72
"Acura" 0 46100 41100 3.5 6 225 18 24 3893 115 197 72
"Audi" 0 42490 38325 3 6 220 20 27 3814 105 180 70
"Audi" 0 44240 40075 3 6 220 18 25 4013 105 180 70
"Audi" 0 42840 38840 2.7 6 250 18 25 3836 109 192 71
"Audi" 0 49690 44936 4.2 8 300 17 24 4024 109 193 71
"Audi" 0 69190 64740 4.2 8 330 17 24 4399 121 204 75
"Audi" 0 48040 43556 4.2 8 340 14 20 3825 104 179 70
"BMW" 0 44295 40530 3 6 225 19 28 3616 107 177 69
"BMW" 0 44995 41170 3 6 225 20 30 3472 114 191 73
"BMW" 0 54995 50270 4.4 8 325 18 26 3814 114 191 73
"BMW" 0 69195 63190 4.4 8 325 18 26 4376 118 198 75
"BMW" 0 73195 66830 4.4 8 325 18 26 4464 123 204 75
"Buick" 0 40720 36927 3.8 6 240 18 28 3909 114 207 75
"Cadillac" 0 45445 41650 4.6 8 275 18 26 3984 115 207 74
"Cadillac" 0 50595 46362 4.6 8 300 18 26 4044 115 207 74
"Cadillac" 0 47955 43841 4.6 8 275 18 26 3992 112 201 75
"Infiniti" 0 42845 38792 4.5 8 340 17 23 3851 110 197 70
"Infiniti" 0 52545 47575 4.5 8 340 17 23 3977 113 200 73
"Jaguar" 0 43895 40004 3 6 235 18 26 3777 115 192 72
"Jaguar" 0 49995 45556 4.2 8 294 18 28 3874 115 192 72
"Jaguar" 0 63120 57499 4.2 8 390 17 24 4046 115 192 72
"Jaguar" 0 68995 62846 4.2 8 294 18 28 3803 119 200 73
"Jaguar" 0 59995 54656 4.2 8 294 18 28 3803 119 200 73
"Jaguar" 0 74995 68306 4.2 8 390 17 24 3948 119 200 73
"Lexus" 0 41010 36196 3 6 220 18 25 3649 110 189 71
"Lexus" 0 48450 42232 4.3 8 300 18 23 3715 110 189 71
"Lexus" 0 55750 48583 4.3 8 290 18 25 3990 115 197 72
"Lincoln" 0 40095 36809 3.9 8 280 17 24 3768 115 194 73
"Lincoln" 0 43495 39869 3.9 8 280 17 24 3768 115 194 73
"Lincoln" 0 41815 38418 4.6 8 239 17 25 4369 118 215 78
"Lincoln" 0 44925 41217 4.6 8 239 17 25 4369 118 215 78
"Lincoln" 0 50470 46208 4.6 8 239 17 25 4474 124 221 78
"Mercedes-Benz" 0 52120 48522 3.2 6 349 16 21 3540 107 178 68
"Mercedes-Benz" 0 94820 88324 5 8 302 16 24 4085 114 196 73
"Mercedes-Benz" 0 128420 119600 5.5 12 493 13 19 4473 114 196 73
"Mercedes-Benz" 0 45707 41966 3.2 6 215 20 26 3770 107 183 69
"Mercedes-Benz" 0 52800 49104 5 8 302 17 22 3585 107 183 69
"Mercedes-Benz" 0 48170 44849 3.2 6 221 19 27 3635 112 190 71
"Mercedes-Benz" 0 57270 53382 5 8 302 16 20 3815 112 190 71
"Mercedes-Benz" 0 74320 69168 4.3 8 275 18 26 4160 122 203 73
"Mercedes-Benz" 0 86970 80939 5 8 302 16 24 4390 122 203 73
"Saab" 0 40670 38520 2 4 210 21 29 3480 105 182 69
"Saab" 0 43175 40883 2 4 210 21 30 3700 105 182 69
"Volvo" 0 40565 38203 2.4 5 197 21 28 3450 105 186 72
"Volvo" 0 42565 40083 2.3 5 242 20 26 3450 105 186 72
"Volvo" 0 45210 42573 2.9 6 268 19 26 3653 110 190 72
